channel,sku_id,sku_name,category,price_band,impressions,visitors,product_views,cart_uv,paid_orders,paid_buyers,paid_units,gmv,refund_amount,ad_spend,cogs,repeat_buyers
天猫,SKU_001,核心旗舰Pro款,核心主品,¥301-500 (进阶轻奢),127450,7601,13567,1185,268,262,297,115181.43,13828.19,29472.69,41476.05,42
京东,SKU_001,核心旗舰Pro款,核心主品,¥301-500 (进阶轻奢),83617,4151,5685,367,188,186,203,80307.34,5056.02,20333.67,28348.95,32
抖音,SKU_001,核心旗舰Pro款,核心主品,¥301-500 (进阶轻奢),283679,8773,15567,714,218,215,245,83409.6,24579.06,37873.61,34214.25,13
拼多多,SKU_001,核心旗舰Pro款,核心主品,¥301-500 (进阶轻奢),174692,12433,21815,1148,649,635,889,289164.73,36817.12,74236.61,124148.85,77
天猫,SKU_002,经典畅销标准版,核心主品,¥100-300 (中端主力),132338,6780,11939,1025,283,276,352,84712.49,11603.49,20687.68,33306.24,57
京东,SKU_002,经典畅销标准版,核心主品,¥100-300 (中端主力),72791,2856,4487,250,124,122,135,32817.68,2456.8,8147.18,12773.7,19
抖音,SKU_002,经典畅销标准版,核心主品,¥100-300 (中端主力),332963,8646,11559,773,278,277,292,65952.14,20024.2,25991.97,27629.04,27
拼多多,SKU_002,经典畅销标准版,核心主品,¥100-300 (中端主力),200372,11341,18358,733,733,706,940,183756.92,25479.54,49328.29,88942.8,115
天猫,SKU_003,性价比入门引流款,引流放量,¥0-99 (大众亲民),118919,5635,7629,917,258,248,313,29426.11,3417.45,8111.86,16113.24,40
京东,SKU_003,性价比入门引流款,引流放量,¥0-99 (大众亲民),95035,3653,4889,385,175,171,199,19207.64,1196.86,4262.06,10244.52,26
抖音,SKU_003,性价比入门引流款,引流放量,¥0-99 (大众亲民),287660,10668,18648,878,330,322,380,32468.31,12337.96,13396.7,19562.4,32
拼多多,SKU_003,性价比入门引流款,引流放量,¥0-99 (大众亲民),197456,10984,15499,707,561,544,787,66137.11,7964.04,16911.63,40514.76,78
天猫,SKU_004,联名高配礼盒装,礼赠定制,¥500+ (高端礼赠),114859,7334,10637,1022,309,295,356,208618.08,28814.82,60437.79,63973.2,58
京东,SKU_004,联名高配礼盒装,礼赠定制,¥500+ (高端礼赠),76977,3232,4992,263,171,167,180,105309.82,8134.97,27089.52,32346.0,24
抖音,SKU_004,联名高配礼盒装,礼赠定制,¥500+ (高端礼赠),365712,10272,14311,812,280,275,317,168521.97,41814.7,64786.7,56964.9,20
拼多多,SKU_004,联名高配礼盒装,礼赠定制,¥500+ (高端礼赠),228798,11206,16734,937,669,656,888,424529.43,67377.22,118770.54,159573.6,105
天猫,SKU_005,便携迷你尝鲜款,引流放量,¥0-99 (大众亲民),108251,6873,12018,1186,259,248,316,20786.02,5820.09,6039.2,11992.2,41
京东,SKU_005,便携迷你尝鲜款,引流放量,¥0-99 (大众亲民),81779,4138,5553,435,200,196,224,15669.7,1200.5,3454.63,8500.8,34
抖音,SKU_005,便携迷你尝鲜款,引流放量,¥0-99 (大众亲民),331722,8314,13911,469,247,242,280,16725.3,5086.1,7458.83,10626.0,18
拼多多,SKU_005,便携迷你尝鲜款,引流放量,¥0-99 (大众亲民),192141,12218,18284,1148,736,710,900,50264.81,6831.6,13793.89,34155.0,126
天猫,SKU_006,耗材替换配件包,配件连带,¥0-99 (大众亲民),124150,7560,10497,1135,323,311,364,17182.26,1787.62,5328.96,4459.0,65
京东,SKU_006,耗材替换配件包,配件连带,¥0-99 (大众亲民),93271,4772,8238,563,275,270,289,14383.32,903.93,3021.71,3540.25,53
抖音,SKU_006,耗材替换配件包,配件连带,¥0-99 (大众亲民),286128,10319,18522,646,253,249,296,13035.07,3797.19,6039.49,3626.0,22
拼多多,SKU_006,耗材替换配件包,配件连带,¥0-99 (大众亲民),172128,8840,15072,713,575,552,790,32369.25,4582.5,8763.62,9677.5,93
天猫,SKU_007,升级迭代新品A,新品潜力,¥301-500 (进阶轻奢),127725,7786,10261,1237,353,336,435,134568.13,14638.21,40852.72,57246.0,69
京东,SKU_007,升级迭代新品A,新品潜力,¥301-500 (进阶轻奢),123527,5499,8584,559,263,256,276,87375.32,6525.02,21669.24,36321.6,37
抖音,SKU_007,升级迭代新品A,新品潜力,¥301-500 (进阶轻奢),291387,9644,14094,515,221,218,247,72699.51,22198.67,27071.01,32505.2,18
拼多多,SKU_007,升级迭代新品A,新品潜力,¥301-500 (进阶轻奢),226989,15227,21114,1078,836,818,1008,284212.56,62526.76,69388.27,132652.8,118
天猫,SKU_008,长尾定制特别版,长尾储备,¥301-500 (进阶轻奢),112875,6319,8997,1029,276,268,343,151812.38,17871.0,39827.78,66123.54,51
京东,SKU_008,长尾定制特别版,长尾储备,¥301-500 (进阶轻奢),78466,3372,4548,371,143,142,150,66264.25,5013.81,14909.64,28917.0,23
抖音,SKU_008,长尾定制特别版,长尾储备,¥301-500 (进阶轻奢),190349,5187,8964,349,142,140,160,62656.9,17150.14,25310.64,30844.8,11
拼多多,SKU_008,长尾定制特别版,长尾储备,¥301-500 (进阶轻奢),184390,11765,19078,782,567,546,684,259598.3,45796.73,65299.96,131861.52,78
